Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases
1.0,55.0,Male,Blouse,Clothing,53.0,Kentucky,L,Gray,Winter,3.1,Yes,Credit Card,Express,Yes,Yes,14.0,,Fortnightly
2.0,19.0,,Sweater,Clothing,,Maine,L,Maroon,Winter,3.1,Yes,Bank Transfer,,Yes,,2.0,Cash,Fortnightly
,50.0,Male,Jeans,Clothing,73.0,Massachusetts,S,Maroon,Spring,3.1,Yes,Cash,,Yes,Yes,23.0,Credit Card,Weekly
4.0,21.0,,Sandals,Footwear,90.0,Rhode Island,M,Maroon,Spring,3.5,Yes,PayPal,Next Day Air,Yes,Yes,49.0,PayPal,Weekly
5.0,45.0,Male,Blouse,Clothing,49.0,Oregon,M,Turquoise,,2.7,Yes,Cash,Free Shipping,Yes,Yes,31.0,PayPal,Annually
6.0,46.0,Male,Sneakers,Footwear,20.0,Wyoming,M,White,Summer,2.9,Yes,,Standard,Yes,,14.0,Venmo,Weekly
7.0,63.0,Male,Shirt,Clothing,85.0,Montana,M,Gray,Fall,3.2,Yes,Debit Card,Free Shipping,Yes,,49.0,Cash,Quarterly
8.0,27.0,Male,Shorts,Clothing,34.0,,L,Charcoal,,3.2,Yes,Debit Card,Free Shipping,Yes,Yes,19.0,Credit Card,Weekly
9.0,26.0,Male,Coat,Outerwear,97.0,West Virginia,L,Silver,Summer,2.6,Yes,Venmo,Express,Yes,Yes,8.0,Venmo,Annually
,57.0,Male,Handbag,Accessories,,Missouri,M,Pink,Spring,,Yes,PayPal,,Yes,Yes,4.0,Cash,Quarterly
11.0,53.0,Male,Shoes,Footwear,,Arkansas,,Purple,Fall,4.1,Yes,Credit Card,,Yes,Yes,26.0,Bank Transfer,Bi-Weekly
,30.0,,Shorts,Clothing,68.0,Hawaii,S,Olive,,4.9,Yes,PayPal,Store Pickup,Yes,Yes,10.0,,Fortnightly
13.0,61.0,Male,Coat,Outerwear,72.0,Delaware,M,Gold,Winter,4.5,Yes,PayPal,,Yes,Yes,37.0,Venmo,Fortnightly
14.0,65.0,Male,Dress,Clothing,51.0,New Hampshire,M,Violet,Spring,4.7,Yes,Debit Card,,Yes,Yes,31.0,PayPal,
15.0,64.0,Male,Coat,Outerwear,53.0,New York,L,Teal,Winter,4.7,Yes,PayPal,Free Shipping,Yes,Yes,34.0,Debit Card,Weekly
16.0,,Male,Skirt,Clothing,81.0,Rhode Island,M,Teal,Winter,2.8,Yes,Credit Card,Store Pickup,Yes,Yes,8.0,PayPal,Monthly
17.0,25.0,Male,Sunglasses,Accessories,36.0,Alabama,S,Gray,Spring,4.1,Yes,Venmo,Next Day Air,Yes,Yes,,,Bi-Weekly
18.0,53.0,Male,Dress,Clothing,38.0,Mississippi,XL,Lavender,Winter,4.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,36.0,Venmo,Quarterly
19.0,52.0,Male,Sweater,Clothing,,Montana,S,Black,,4.6,,,Free Shipping,Yes,Yes,17.0,,
20.0,66.0,Male,Pants,Clothing,90.0,Rhode Island,M,Green,Summer,,Yes,Venmo,Standard,Yes,Yes,46.0,Debit Card,Bi-Weekly
21.0,21.0,Male,Pants,Clothing,51.0,Louisiana,M,Black,Winter,2.8,,Credit Card,Express,Yes,Yes,50.0,Cash,
,31.0,Male,Pants,Clothing,,North Carolina,M,Charcoal,Winter,,Yes,Credit Card,Store Pickup,Yes,,22.0,Debit Card,Quarterly
23.0,56.0,Male,Pants,Clothing,37.0,California,M,Peach,Summer,3.2,,Cash,Store Pickup,Yes,Yes,32.0,,Annually
24.0,31.0,Male,Pants,Clothing,88.0,Oklahoma,XL,White,Winter,4.4,Yes,Credit Card,Express,Yes,Yes,40.0,Credit Card,Weekly
25.0,18.0,Male,Jacket,Outerwear,22.0,Florida,M,,Fall,,Yes,,Store Pickup,Yes,Yes,16.0,,Weekly
26.0,,Male,Hoodie,Clothing,25.0,Texas,M,Silver,Summer,3.6,Yes,Bank Transfer,Express,Yes,Yes,14.0,PayPal,Annually
27.0,38.0,Male,Jewelry,Accessories,20.0,Nevada,M,Red,Spring,3.6,Yes,Cash,Next Day Air,Yes,Yes,13.0,Credit Card,Annually
28.0,56.0,Male,Shorts,Clothing,56.0,Kentucky,L,Cyan,Summer,5.0,Yes,Debit Card,,Yes,Yes,,Bank Transfer,Every 3 Months
29.0,54.0,,Handbag,Accessories,,North Carolina,M,,Fall,4.4,Yes,Debit Card,Free Shipping,Yes,Yes,41.0,PayPal,Every 3 Months
30.0,31.0,Male,Dress,Clothing,48.0,Wyoming,S,Black,Fall,4.1,Yes,Venmo,Store Pickup,Yes,Yes,14.0,Credit Card,Weekly
31.0,57.0,Male,Jewelry,Accessories,,North Carolina,L,Black,Winter,4.7,Yes,Bank Transfer,Standard,Yes,Yes,16.0,Credit Card,Monthly
32.0,33.0,Male,Dress,Clothing,79.0,West Virginia,L,Brown,Winter,4.7,Yes,Venmo,Store Pickup,Yes,Yes,45.0,Venmo,Monthly
33.0,36.0,Male,Jacket,Outerwear,67.0,Kansas,M,Silver,Summer,4.9,Yes,,Free Shipping,Yes,Yes,37.0,Venmo,Annually
34.0,54.0,Male,Pants,Clothing,38.0,Colorado,L,Green,Summer,3.3,Yes,Venmo,Store Pickup,Yes,Yes,45.0,Cash,Quarterly
35.0,36.0,Male,T-shirt,Clothing,91.0,North Dakota,L,Violet,Spring,,Yes,Debit Card,2-Day Shipping,Yes,Yes,,PayPal,Quarterly
36.0,,,,Clothing,33.0,Massachusetts,M,Cyan,Summer,4.0,,Bank Transfer,2-Day Shipping,Yes,Yes,48.0,Credit Card,Bi-Weekly
37.0,35.0,Male,T-shirt,Clothing,69.0,Illinois,M,Maroon,Winter,4.6,Yes,,Free Shipping,Yes,Yes,44.0,,Fortnightly
